femaleSpecies,maleSpecies,maleID,treatment,spendingTime,maleWeight,averageFemaleWeight,femaleWeight_poMinusga,po_femalePerga_female,exclude
intermediate,gambusia,g24,acclimation,144,0.11172,0.530505,-0.07181,0.873219046,0
intermediate,gambusia,g25,acclimation,38,0.08275,0.492845,0.06817,1.148596216,0
intermediate,gambusia,g26,acclimation,103,0.10233,0.50037,0.0588,1.124848716,0
intermediate,gambusia,g27,acclimation,138,0.10248,0.540355,0.13891,1.29498832,1
intermediate,gambusia,g28,acclimation,356,0.21674,1.19472,-0.29442,0.780599584,0
intermediate,gambusia,g29,acclimation,309,0.13988,0.373255,-0.00347,0.99074642,0
intermediate,gambusia,g3,acclimation,423,0.17883,0.97299,-0.1433,0.862823556,0
intermediate,gambusia,g30,acclimation,131,0.0883,0.50425,0.0127,1.02550713,0
intermediate,gambusia,g4,acclimation,541,0.12476,0.81671,-0.28122,0.706242427,0
intermediate,gambusia,g5,acclimation,606,0.07666,0.712905,0.06581,1.096779412,0
intermediate,gambusia,g6,acclimation,536,0.1096,0.702235,-0.12885,0.831933321,0
intermediate,gambusia,g7,acclimation,794,0.14287,0.60237,0.00302,1.005026129,0
intermediate,gambusia,g8,acclimation,211,0.12621,0.440225,-0.06347,0.865518264,0
intermediate,gambusia,g9,acclimation,1088,0.14993,0.309085,-0.02961,0.908580073,0
intermediate,poecilia,p1,acclimation,139,0.20212,0.588815,0.10957,1.205175739,0
intermediate,poecilia,p10,acclimation,352,0.10759,0.391525,0.02711,1.071725269,0
intermediate,poecilia,p11,acclimation,10,0.11976,0.452745,0.24255,1.731740429,0
intermediate,poecilia,p12,acclimation,348,0.16862,0.49682,-0.00788,0.984263919,0
intermediate,poecilia,p13,acclimation,67,0.15565,0.24578,-0.0033,0.986662895,0
intermediate,poecilia,p14,acclimation,276,0.17434,0.322075,-0.09385,0.745663957,0
intermediate,poecilia,p15,acclimation,6,0.11162,0.35654,0.00352,1.009921642,1
intermediate,poecilia,p16,acclimation,375,0.1423,0.361665,0.05309,1.158420864,0
intermediate,poecilia,p17,acclimation,141,0.12559,0.35153,0.107,1.359024259,0
intermediate,poecilia,p18,acclimation,158,0.1445,0.279065,0.02779,1.104800694,0
intermediate,poecilia,p19,acclimation,45,0.20816,0.487105,0.12245,1.287522307,0
intermediate,poecilia,p2,acclimation,443,0.10198,0.31549,0.08632,1.316968384,0
intermediate,poecilia,p20,acclimation,349,0.12895,0.396515,0.06981,1.193053289,0
intermediate,poecilia,p21,acclimation,46,0.2139,0.40738,-0.01042,0.974744904,1
intermediate,poecilia,p22,acclimation,119,0.14749,0.380405,-0.00251,0.993423466,0
intermediate,poecilia,p23,acclimation,236,0.18688,0.56085,0.04832,1.090033353,0
intermediate,poecilia,p24,acclimation,26,0.11422,0.37333,0.09526,1.29247774,0
